giftType,price,value
Essential,43,50
Utility,6,24
Utility,27,4
Essential,20,24
Utility,4,26
Luxury,7,42
Essential,10,33
Luxury,45,9
Luxury,20,30
Utility,34,30
Luxury,22,28
Essential,34,14
Essential,16,12
Luxury,28,9
Essential,4,29
Luxury,2,32
Essential,7,23
Luxury,12,27
Essential,4,27
Utility,23,49
Essential,24,38
Essential,32,34
Utility,35,44
Utility,7,24
Utility,26,49
Luxury,31,19
Utility,17,27
Utility,14,40
Utility,25,7
Utility,27,13
Luxury,19,5
Luxury,33,30
Luxury,5,11
Utility,42,45
Luxury,18,31
Essential,7,1
Utility,6,2
Utility,31,8
Essential,16,34
Essential,4,20
Utility,7,44
Utility,29,31
Essential,17,45
Luxury,26,2
Essential,33,28
Utility,30,18
Essential,17,22
Essential,5,12
Utility,28,13
Essential,23,8
Utility,2,9
Essential,26,7
Essential,43,9
Luxury,23,46
Utility,44,17
Luxury,21,32
Essential,36,41
Essential,32,50
Utility,39,2
Luxury,44,35
Luxury,47,39
Essential,8,9
Essential,22,50
Essential,28,5
Utility,40,41
Utility,11,9
Essential,25,16
Utility,20,46
Essential,29,29
Essential,40,49
Luxury,28,27
Utility,8,13
Utility,32,11
Utility,47,13
Utility,41,1
Luxury,15,17
Utility,8,44
Utility,33,15
Luxury,32,19
Luxury,1,7
Utility,3,35
Utility,47,49
Utility,36,1
Essential,2,19
Utility,12,14
Utility,24,3
Essential,21,16
Utility,1,22
Utility,21,46
Essential,37,6
Essential,12,45
Utility,25,41
Essential,18,26
Essential,24,37
Essential,28,19
Utility,47,15
Essential,43,13
Essential,30,25
Utility,27,45
Essential,49,38
